factor,vol_contrib,vol_contrib_pct
Value (HML),0,0
Profitability (RMW),0.0034098811446707815,0.0034098811446707815
Momentum (MOM),0.010316903858677595,0.010316903858677595
Investment (CMA),0.011164032096861171,0.011164032096861171
Size (SMB),0.020955981397772043,0.020955981397772043
Idiosyncratic,0.03470072844767552,0.03470072844767552
Market,0.10287586952234297,0.10287586952234297
