ticker,publish_date,period_end,EPSDiluted,StockholdersEquity,AvgDilutedSharesOutstanding,Revenue,CommonStockDividendsPerShare
AMZN,2019-02-01,2018-12-31,6.04,43549000000,501000000,72383000000,NA
AMZN,2018-10-26,2018-09-30,5.75,39125000000,501000000,56576000000,NA
AMZN,2018-07-27,2018-06-30,5.07,34995000000,500000000,52886000000,NA
AMZN,2018-04-27,2018-03-31,3.27,31463000000,498000000,51042000000,NA
AMZN,2018-02-02,2017-12-31,6.15,27709000000,493000000,177866000000,NA
AMZN,2018-02-02,2017-12-31,3.75,27709000000,496000000,60453000000,NA
AMZN,2017-10-27,2017-09-30,0.52,24658000000,494000000,43744000000,NA
AMZN,2017-07-28,2017-06-30,0.4,23214000000,492000000,37955000000,NA
AMZN,2017-04-28,2017-03-31,1.48,21674000000,490000000,35714000000,NA
AMZN,2017-02-10,2016-12-31,4.9,19285000000,484000000,135987000000,NA
AMZN,2017-02-10,2016-12-31,1.54,19285000000,487000000,43741000000,NA
AAPL,2025-08-01,2025-06-28,1.57,65830000000,14948179000,94036000000,0.26
AAPL,2025-05-02,2025-03-29,1.65,66796000000,15056133000,95359000000,0.25
AAPL,2024-11-01,2024-09-28,6.08,56950000000,15408095000,391035000000,0.98
AAPL,2025-01-31,2024-12-28,2.4,66758000000,15150865000,124300000000,0.25
AAPL,2024-11-01,2024-09-28,0.97,56950000000,15242855000,94930000000,0.25
AAPL,2024-08-02,2024-06-29,1.4,66708000000,15348175000,85777000000,0.25
AAPL,2024-05-03,2024-03-30,1.53,74194000000,15464709000,90753000000,0.24
AAPL,2023-11-03,2023-09-30,6.13,62146000000,15812547000,383285000000,0.94
AAPL,2024-02-02,2023-12-30,2.18,74100000000,15576641000,119575000000,0.24
AAPL,2023-11-03,2023-09-30,1.46,62146000000,15672399000,89498000000,0.24
AAPL,2023-08-04,2023-07-01,1.26,60274000000,15775021000,81797000000,0.24
AAPL,2023-05-05,2023-04-01,1.52,62158000000,15847050000,94836000000,0.23
AAPL,2022-10-28,2022-09-24,6.11,50672000000,16325819000,394328000000,0.9
AAPL,2023-02-03,2022-12-31,1.88,56727000000,15955718000,117154000000,0.23
AAPL,2022-10-28,2022-09-24,1.29,50672000000,16118466000,90146000000,0.23
AAPL,2022-07-29,2022-06-25,1.2,58107000000,16262203000,82959000000,0.23
AAPL,2022-04-29,2022-03-26,1.52,67399000000,16403316000,97278000000,0.22
AAPL,2021-10-29,2021-09-25,5.61,63090000000,16864919000,365817000000,0.85
AAPL,2022-01-28,2021-12-25,2.1,71932000000,16519291000,123945000000,0.22
AAPL,2021-10-29,2021-09-25,1.23,63090000000,16635096000,83360000000,0.22
AAPL,2021-07-28,2021-06-26,1.3,64280000000,16781735000,81434000000,0.22
AAPL,2021-04-29,2021-03-27,1.4,69178000000,16929157000,89584000000,0.205
AAPL,2020-10-30,2020-09-26,3.28,65339000000,17528214000,274515000000,0.795
AAPL,2021-01-28,2020-12-26,1.68,66224000000,17113688000,111439000000,0.205
AAPL,2020-10-30,2020-09-26,0.73,65339000000,17256520000,64698000000,0.205
AAPL,2020-07-31,2020-06-27,0.65,72282000000,17419154000,59685000000,0.205
AAPL,2020-05-01,2020-03-28,0.64,78425000000,17618765000,58313000000,0.1925
AAPL,2019-10-31,2019-09-28,2.97,90488000000,18595651000,260174000000,0.75
AAPL,2020-01-29,2019-12-28,1.25,89531000000,17818417000,91819000000,0.1925
AAPL,2019-10-31,2019-09-28,0.76,90488000000,60307326000,64040000000,-1.48
AAPL,2019-07-31,2019-06-29,0.55,96456000000,4601380000,53809000000,0.77
AAPL,2019-05-01,2019-03-30,0.61,105860000000,4700646000,58015000000,0.73
AAPL,2018-11-05,2018-09-29,2.98,107147000000,20000435000,265595000000,0.68
AAPL,2019-01-30,2018-12-29,1.05,117892000000,4773252000,84310000000,0.73
AAPL,2018-11-05,2018-09-29,2.91,107147000000,64848851000,62900000000,-1.31
AAPL,2018-08-01,2018-06-30,2.34,114949000000,4926609000,53265000000,0.73
AAPL,2018-05-02,2018-03-31,2.73,126878000000,5068493000,61137000000,0.63
AAPL,2017-11-03,2017-09-30,9.21,134047000000,5251692000,229234000000,2.4
AAPL,2018-02-02,2017-12-30,3.89,140199000000,5157787000,88293000000,0.63
AAPL,2017-11-03,2017-09-30,2.07,134047000000,5183586000,52579000000,0.63
AAPL,2017-08-02,2017-07-01,1.67,132425000000,5233499000,45408000000,0.63
AAPL,2017-05-03,2017-04-01,2.1,134082000000,5261688000,52896000000,0.57
AAPL,2017-02-01,2016-12-31,3.36,132390000000,5327995000,78351000000,0.57
AVGO,2025-09-10,2025-08-03,0.85,73277000000,4860000000,15952000000,0.59
AVGO,2025-06-11,2025-05-04,1.03,69586000000,4826000000,15004000000,0.59
AVGO,2024-12-20,2024-11-03,1.23,67678000000,4778000000,51574000000,2.105
AVGO,2025-03-12,2025-02-02,1.14,69789000000,4836000000,14916000000,0.59
AVGO,2024-12-20,2024-11-03,0.9,67678000000,13502000000,14054000000,0.53
AVGO,2024-09-11,2024-08-04,-0.4,65651000000,4663000000,13072000000,0.525
AVGO,2024-06-13,2024-05-05,4.42,69961000000,480000000,12487000000,5.25
AVGO,2023-12-14,2023-10-29,32.98,23988000000,427000000,35819000000,18.4
AVGO,2024-03-14,2024-02-04,2.84,70284000000,467000000,11961000000,5.25
AVGO,2023-12-14,2023-10-29,8.25,23988000000,427000000,9295000000,4.6
AVGO,2023-09-06,2023-07-30,0.77,22079000000,4269000000,8876000000,0.46
AVGO,2023-06-07,2023-04-30,8.15,22007000000,427000000,8733000000,4.6
AVGO,2022-12-16,2022-10-30,26.53,22709000000,423000000,33203000000,16.4
AVGO,2023-03-08,2023-01-29,8.8,23310000000,429000000,8915000000,4.6
AVGO,2022-12-16,2022-10-30,7.83,22709000000,409000000,8930000000,4.1
AVGO,2022-09-08,2022-07-31,7.15,20876000000,430000000,8464000000,4.1
AVGO,2022-06-09,2022-05-01,5.93,20963000000,424000000,8103000000,4.1
AVGO,2021-12-17,2021-10-31,15,24962000000,429000000,27450000000,14.4
AVGO,2022-03-10,2022-01-30,5.59,22968000000,429000000,7706000000,4.1
AVGO,2021-12-17,2021-10-31,4.46,24962000000,430000000,7407000000,3.6
AVGO,2021-09-09,2021-08-01,4.2,24340000000,429000000,6778000000,3.6
AVGO,2021-06-11,2021-05-02,3.3,23939000000,429000000,6610000000,3.6
AVGO,2020-12-18,2020-11-01,6.33,23874000000,421000000,23888000000,13
AVGO,2021-03-12,2021-01-31,3.05,23973000000,428000000,6655000000,3.6
AVGO,2020-12-18,2020-11-01,2.93,23874000000,425000000,6467000000,3.25
AVGO,2020-09-11,2020-08-02,1.45,23557000000,422000000,5821000000,3.25
AVGO,2020-06-12,2020-05-03,1.17,23942000000,417000000,5742000000,3.25
AVGO,2019-12-20,2019-11-03,6.43,24941000000,419000000,22597000000,10.6
AVGO,2020-03-13,2020-02-02,0.74,24368000000,420000000,5858000000,3.25
AVGO,2019-12-20,2019-11-03,1.97,24941000000,417000000,5776000000,2.65
AVGO,2019-09-13,2019-08-04,1.71,21503000000,418000000,5515000000,2.65
AVGO,2019-06-14,2019-05-05,1.64,22172000000,422000000,5517000000,2.65
AVGO,2018-12-21,2018-11-04,28.44,26657000000,431000000,20848000000,7
AVGO,2019-03-15,2019-02-03,1.12,23224000000,419000000,5789000000,2.65
AVGO,2018-12-21,2018-11-04,2.64,26657000000,409000000,5444000000,1.75
AVGO,2018-09-13,2018-08-05,2.71,27452000000,441000000,5063000000,1.75
AVGO,2018-06-14,2018-05-06,8.33,32067000000,448000000,5014000000,1.75
AVGO,2017-12-21,2017-10-29,4.02,23186000000,421000000,17636000000,4.08
AVGO,2018-03-15,2018-02-04,14.62,29081000000,426000000,5327000000,1.75
AVGO,2017-12-21,2017-10-29,1.25,23186000000,358000000,4844000000,1.02
AVGO,2017-09-07,2017-07-30,1.14,22704000000,445000000,4463000000,1.02
