ticker,date,adjusted,ret,mkt_rf,smb,hml,rmw,cma,rf,mom,excess
SPY,2010-01-05,85.74202728271484,0.0026475855413423677,0.0031,-0.0042,0.012199999999999999,-0.0018,0.0019,0,0.0062,0.0026475855413423677
SPY,2010-01-06,85.80237579345703,7.038381602897381e-4,0.0013,-0.0014000000000000002,0.0055000000000000005,-5e-4,0.002,0,-5e-4,7.038381602897381e-4
SPY,2010-01-07,86.16456604003906,0.004221214660231398,0.004,0.0025,0.0096,-0.0066,0.0022,0,-0.0087,0.004221214660231398
SPY,2010-01-08,86.45128631591797,0.003327589159396238,0.0033,0.0031,2e-4,0.0023,-0.004,0,0.002,0.003327589159396238
SPY,2010-01-11,86.57203674316406,0.0013967452931218372,0.0013,-0.0014000000000000002,-0.0026,0.0018,0.0058,0,-0.0048,0.0013967452931218372
SPY,2010-01-12,85.76466369628906,-0.00932602578440267,-0.01,-0.0036,-0.0128,0.0052,-3e-4,0,-0.0123,-0.00932602578440267
SPY,2010-01-13,86.48902893066406,0.008445963677303325,0.0085,0.0032,0.0031,-0.0034000000000000002,9e-4,0,0.0038,0.008445963677303325
SPY,2010-01-14,86.72293853759766,0.00270450032594427,0.0024,0.0025,8e-4,-0.003,-2e-4,0,-0.0011,0.00270450032594427
SPY,2010-01-15,85.74956512451172,-0.01122394408561167,-0.011200000000000002,-0.0019,-0.0039000000000000003,0.0062,-0.0015,0,-0.0052,-0.01122394408561167
SPY,2010-01-19,86.82105255126953,0.012495543565754108,0.0127,0.0046,-0.002,-0.0015,-3e-4,0,5e-4,0.012495543565754108
SPY,2010-01-20,85.938201904296875,-0.010168624095536205,-0.0098,-0.0053,0.0022,-0.0055000000000000005,-0.0014000000000000002,0,-0.0054,-0.010168624095536205
SPY,2010-01-21,84.28565979003906,-0.01922942390740412,-0.0174,0.0013,-0.0109,-3e-4,-0.0045000000000000005,0,-0.01,-0.01922942390740412
SPY,2010-01-22,82.40679931640625,-0.022291579354224322,-0.021400000000000002,0.0049,-0.009000000000000001,0.004699999999999999,-1e-4,0,-0.0158,-0.022291579354224322
SPY,2010-01-25,82.82933807373047,0.005127474441785518,0.0037,-0.0022,0.0034000000000000002,8e-4,0.0011,0,0.0055000000000000005,0.005127474441785518
SPY,2010-01-26,82.48225402832031,-0.004190351552745719,-0.0045000000000000005,-0.0024,-0.0045000000000000005,0.003,-7.000000000000001e-4,0,-1e-4,-0.004190351552745719
SPY,2010-01-27,82.87464141845703,0.004757234083370143,0.0053,0.0027,0.002,-0.0088,-1e-4,0,-0.0017000000000000001,0.004757234083370143
SPY,2010-01-28,81.92386627197266,-0.01147244959629623,-0.0118,-0.0051,0.0042,-3e-4,5e-4,0,-0.006500000000000001,-0.01147244959629623
SPY,2010-01-29,81.033477783203125,-0.010868487161160068,-0.0097,-9e-4,-0.0042,-0.0021,0.0019,0,-0.0124,-0.010868487161160068
SPY,2010-02-01,82.2935791015625,0.015550379334954068,0.0139,-0.0014000000000000002,0.0089,-0.0014000000000000002,0.0068000000000000005,0,0.0137,0.015550379334954068
SPY,2010-02-02,83.28963470458984,0.012103685535393538,0.0121,-0.0028000000000000004,0.0064,0.0029,0.0068000000000000005,0,0.0046,0.012103685535393538
SPY,2010-02-03,82.87464141845703,-0.004982532191487032,-0.0049,1e-4,-0.0037,0.0017000000000000001,-9e-4,0,0.0022,-0.004982532191487032
SPY,2010-02-04,80.3166275024414,-0.030866063155549628,-0.031400000000000004,-0.0032,-0.011899999999999999,0.0045000000000000005,-5e-4,0,-0.0154,-0.030866063155549628
SPY,2010-02-05,80.48265075683594,0.0020671093839128574,0.0029,-3e-4,1e-4,-0.006500000000000001,-0.0015,0,5e-4,0.0020671093839128574
SPY,2010-02-08,79.90159606933594,-0.007219626615623698,-0.0079,-6e-4,-0.0038,0.0015,0.0014000000000000002,0,0,-0.007219626615623698
SPY,2010-02-09,80.90518951416016,0.012560367929989047,0.013300000000000001,0.0036,0.005699999999999999,0.0031,0.004,0,0.0088,0.012560367929989047
