ticker,date,resid_var
DBC,2010-09-21,6.254941407460041e-5
DBC,2010-09-22,6.246374382571359e-5
DBC,2010-09-23,6.232451389542703e-5
DBC,2010-09-24,6.219498390562692e-5
DBC,2010-09-27,6.191499033669479e-5
DBC,2010-09-28,6.159433100596066e-5
DBC,2010-09-29,6.258049552454818e-5
DBC,2010-09-30,6.262111199052487e-5
DBC,2010-10-01,6.22870835686453e-5
DBC,2010-10-04,6.195885202803137e-5
DBC,2010-10-05,6.205029225655532e-5
DBC,2010-10-06,6.172998543118783e-5
DBC,2010-10-07,6.180927476045251e-5
DBC,2010-10-08,6.673839819441018e-5
DBC,2010-10-11,6.651707412994655e-5
DBC,2010-10-12,6.623727978759997e-5
DBC,2010-10-13,6.590257506575434e-5
DBC,2010-10-14,6.55798828186908e-5
DBC,2010-10-15,6.587510425770249e-5
DBC,2010-10-18,6.57240611054548e-5
DBC,2010-10-19,6.769199058283924e-5
DBC,2010-10-20,6.880229387520535e-5
DBC,2010-10-21,6.932297074587715e-5
DBC,2010-10-22,6.934608586835001e-5
DBC,2010-10-25,6.910162137085848e-5
DBC,2010-10-26,6.888458821341506e-5
DBC,2010-10-27,6.855310351375806e-5
DBC,2010-10-28,6.834055399445243e-5
DBC,2010-10-29,6.804860711703806e-5
DBC,2010-11-01,6.792207060652759e-5
DBC,2010-11-02,6.764539574571378e-5
DBC,2010-11-03,6.735912803556738e-5
DBC,2010-11-04,6.778179503453686e-5
DBC,2010-11-05,6.747730522586436e-5
DBC,2010-11-08,6.722318189135833e-5
DBC,2010-11-09,6.693243165516669e-5
DBC,2010-11-10,6.682496863196195e-5
DBC,2010-11-11,6.67141958128574e-5
DBC,2010-11-12,7.158369002593816e-5
DBC,2010-11-15,7.126348463891716e-5
DBC,2010-11-16,7.273036665659741e-5
DBC,2010-11-17,7.270654293587877e-5
DBC,2010-11-18,7.381945906756434e-5
DBC,2010-11-19,7.460153569025947e-5
DBC,2010-11-22,7.434153155671317e-5
DBC,2010-11-23,7.414520855517767e-5
DBC,2010-11-24,7.412333516488343e-5
DBC,2010-11-26,7.414667773182454e-5
DBC,2010-11-29,7.385197359912817e-5
DBC,2010-11-30,7.364565781615966e-5
DBC,2010-12-01,7.458575860697397e-5
DBC,2010-12-02,7.427089195459678e-5
DBC,2010-12-03,7.442222200262464e-5
DBC,2010-12-06,7.410624342791525e-5
DBC,2010-12-07,7.406106079109462e-5
DBC,2010-12-08,7.390000709142091e-5
DBC,2010-12-09,7.371128433427277e-5
DBC,2010-12-10,7.354997384938074e-5
DBC,2010-12-13,7.378853221477387e-5
DBC,2010-12-14,7.352934135816047e-5
DBC,2010-12-15,7.323046433425503e-5
DBC,2010-12-16,7.316841888771011e-5
DBC,2010-12-17,7.31259627731832e-5
DBC,2010-12-20,7.306326918726052e-5
DBC,2010-12-21,7.27699370634397e-5
DBC,2010-12-22,7.251576236085113e-5
DBC,2010-12-23,7.232262192519349e-5
DBC,2010-12-27,7.205201529729183e-5
DBC,2010-12-28,7.221095793538758e-5
DBC,2010-12-29,7.192328373607742e-5
DBC,2010-12-30,7.217652718579412e-5
DBC,2010-12-31,7.345030644464102e-5
DBC,2011-01-03,7.324022610870836e-5
DBC,2011-01-04,7.363638260645754e-5
DBC,2011-01-05,7.278416603386024e-5
DBC,2011-01-06,7.232142096176289e-5
DBC,2011-01-07,7.226624664639671e-5
DBC,2011-01-10,7.283490100297722e-5
DBC,2011-01-11,7.263172937920202e-5
DBC,2011-01-12,7.250912599933715e-5
DBC,2011-01-13,7.231807126933374e-5
DBC,2011-01-14,7.226771732505473e-5
DBC,2011-01-18,7.226451559100961e-5
DBC,2011-01-19,7.192963219045578e-5
DBC,2011-01-20,7.219083829246908e-5
DBC,2011-01-21,7.234790420527786e-5
DBC,2011-01-24,7.293671004969178e-5
DBC,2011-01-25,7.344394646319948e-5
DBC,2011-01-26,7.316863116196613e-5
DBC,2011-01-27,7.35944012519503e-5
DBC,2011-01-28,7.593112101173904e-5
DBC,2011-01-31,7.564301263105382e-5
DBC,2011-02-01,7.490439217646803e-5
DBC,2011-02-02,7.507443663791027e-5
DBC,2011-02-03,7.493148283840978e-5
DBC,2011-02-04,7.398797140441873e-5
DBC,2011-02-07,7.412231303021098e-5
DBC,2011-02-08,7.37795106638676e-5
DBC,2011-02-09,7.396595995468726e-5
DBC,2011-02-10,7.419529074576612e-5
DBC,2011-02-11,7.433475112318588e-5
DBC,2011-02-14,7.306232345570668e-5
DBC,2011-02-15,7.322818574640232e-5
DBC,2011-02-16,7.316725104357425e-5
DBC,2011-02-17,7.31341138501133e-5
DBC,2011-02-18,7.280708100142338e-5
DBC,2011-02-22,7.331853548623476e-5
DBC,2011-02-23,7.600232177519934e-5
DBC,2011-02-24,7.537957599522637e-5
DBC,2011-02-25,7.49538099272777e-5
DBC,2011-02-28,7.373590348990505e-5
DBC,2011-03-01,7.58127761023463e-5
DBC,2011-03-02,7.545570131530402e-5
DBC,2011-03-03,7.556466062596609e-5
DBC,2011-03-04,7.58035258204997e-5
DBC,2011-03-07,7.577647379797447e-5
DBC,2011-03-08,7.588251569556141e-5
DBC,2011-03-09,7.598714522249755e-5
DBC,2011-03-10,7.595254185175774e-5
DBC,2011-03-11,7.628895132182152e-5
DBC,2011-03-14,7.598167390357504e-5
DBC,2011-03-15,7.94905495016823e-5
DBC,2011-03-16,8.036749551683827e-5
DBC,2011-03-17,8.248936620955762e-5
DBC,2011-03-18,8.228673675814975e-5
DBC,2011-03-21,8.244591325000516e-5
DBC,2011-03-22,8.224655590460726e-5
DBC,2011-03-23,8.17453563566847e-5
DBC,2011-03-24,8.166710168370695e-5
DBC,2011-03-25,8.167147220312e-5
DBC,2011-03-28,8.06128453356662e-5
DBC,2011-03-29,8.059450092992041e-5
DBC,2011-03-30,8.076063455009638e-5
DBC,2011-03-31,8.07835380195942e-5
DBC,2011-04-01,8.061319167821855e-5
DBC,2011-04-04,8.075283416079681e-5
DBC,2011-04-05,8.076052227885065e-5
DBC,2011-04-06,8.072364408318947e-5
DBC,2011-04-07,8.076138902481026e-5
DBC,2011-04-08,8.328829055136597e-5
DBC,2011-04-11,8.417644480653254e-5
DBC,2011-04-12,8.485357484790598e-5
DBC,2011-04-13,8.49131027643619e-5
DBC,2011-04-14,8.484966265863624e-5
DBC,2011-04-15,8.420197828025702e-5
DBC,2011-04-18,8.420199808035717e-5
DBC,2011-04-19,8.413714713420975e-5
DBC,2011-04-20,8.417916722366307e-5
DBC,2011-04-21,8.41882685746224e-5
DBC,2011-04-25,8.422199958260985e-5
DBC,2011-04-26,8.43058336779907e-5
DBC,2011-04-27,8.429258769671651e-5
DBC,2011-04-28,8.469622268507907e-5
DBC,2011-04-29,8.339153839765625e-5
DBC,2011-05-02,8.343737805854108e-5
DBC,2011-05-03,8.2926440916449e-5
DBC,2011-05-04,8.172457773343854e-5
DBC,2011-05-05,9.585074437908074e-5
DBC,2011-05-06,9.60724613575172e-5
