VOO_weight,VEA_weight,IEMG_weight,TLT_weight,BND_weight,VNQ_weight,AAPL_weight,AMZN_weight,expected_return,variance,sd,sharpe,optimal_port
0.010731805780597448,0.14495852358007663,0.0805847574950949,0.6391872603192458,0.013678682219702816,0.07534330555655049,0.005952672697162719,0.029562992351569246,-0.04729308524272924,7.4941874263496165e-05,0.13742398740540546,-0.3441399579187949,normal
0.0023783662633483273,0.0628780971768803,8.636514089199017e-4,0.3871533381087104,0.4855751337995624,0.03234796495211579,0.015918680539188577,0.012884767751274298,-0.03673110204940297,4.556312182973998e-5,0.10715365929866547,-0.3427890590933877,normal
0.010376435497804128,0.08691170405245398,0.14803011239973704,0.5155452856874357,0.19928716966147947,0.012942826084097551,0.0033604866943723983,0.023545979922619826,-0.03904754464433361,5.836745180613806e-5,0.12127900830377362,-0.321964577303677,normal
0.049522616755679844,0.04142394641136407,0.10543140870282833,0.5221144514485345,0.19862839294275522,0.02383813529310158,0.004459728941120255,0.054581319504616185,-0.036052184514925666,6.082633155591131e-5,0.12380725161350466,-0.2911960652149164,normal
0.041001626962804204,0.024903845886094175,0.096122232758523,0.41664575923250796,0.1626723326596643,0.22120142468424764,0.02801689309137716,0.009435884724781518,-0.035222875102497726,6.294106801102435e-5,0.12594105422291074,-0.2796774675250424,normal
0.15008766130772713,0.01781701181730877,0.05998905817928349,0.6128886257736781,0.010336736431691985,0.06965872068942958,0.06895465045235474,0.010267535348526154,-0.03794968683540895,7.496982608018061e-5,0.13744961321228052,-0.27609889870550985,normal
0.0476102993294708,0.14497482929914188,0.19512881617905606,0.5268927374505339,0.057035307041188664,0.01547398304577987,0.011004537587480333,0.0018794900673485726,-0.03192762583105374,6.400604069063066e-5,0.1270020561016196,-0.25139455856924964,normal
1.4492939546738125e-4,0.12888551712437327,0.0011434822280384838,0.44447298872708685,0.02444031550288406,0.34209690668300635,0.03874204364866434,0.02007381669047932,-0.035678119564316046,8.148077350940883e-5,0.1432939458748032,-0.24898553352343467,normal
0.07370983480842726,0.06240456538413314,0.002708825091567796,0.5783609045669171,4.4900527139807224e-4,0.12894309495024595,0.1385100652218594,0.01491370470545129,-0.035224152580150395,8.13829833374694e-5,0.14320793204652557,-0.24596509478753403,normal
0.06317468952793948,0.05818837988044086,0.00708284055995822,0.4015806659045833,0.09941605612812213,0.3407176160181096,0.009764454706262308,0.020075297274584247,-0.033082198997279544,7.477371616133741e-5,0.13726972161644763,-0.24100142848483525,normal
0.03607762752167408,0.03312720384672931,7.212974696595056e-4,0.46558608187010464,0.29057435646056523,0.016678970745463508,0.08870892209642037,0.06852553998938357,-0.02743285779633556,6.0169418415796815e-5,0.12313688903322513,-0.2227834242989,normal
6.887301747696555e-4,0.028259496035007926,0.04574406916226213,0.5205566002065289,0.15337494224520687,0.061312198344862665,0.08151344815111493,0.10855051568024704,-0.02985758962890241,7.269573851357719e-5,0.1353489050765519,-0.22059720107831884,normal
0.02255226000592053,0.03423741226974599,0.044372458270904476,0.32823582212447866,0.07393956529707789,0.4404044371914017,0.051672140013470966,0.004585904826999873,-0.03066061201181414,8.351358704743673e-5,0.1450704102701652,-0.21134986765884758,normal
0.005460118365520495,0.0015526179339323538,0.4302821200393707,0.40740481845533466,0.013356984110784861,0.11022952565341021,0.025905910742787995,0.005807904698858682,-0.02707575015508307,7.07330181299498e-5,0.1335092527458204,-0.20280055200841274,normal
0.002867731509786726,0.046995145032160526,0.1751363218277338,0.30087732094420006,0.2457106645094608,0.18958149875303826,0.01886534793044387,0.019965969493175997,-0.02314125853215622,5.450504915858608e-5,0.11719757842192685,-0.19745509116958557,normal
0.06529027313871495,0.10270003081167096,0.08943310072353354,0.49126914783420833,0.04452110754541943,0.1270422084418832,0.01953436874759708,0.060209762756972464,-0.02564026772928744,7.134677382671396e-5,0.13408723654521307,-0.19122079319340557,normal
0.0780690248676422,0.04810741183775013,0.09424623753120256,0.3453534193366191,0.17518124533777496,0.22346032517102188,0.028422950922291173,0.007159384995698226,-0.02322755546501124,6.102392027753739e-5,0.12400817678661123,-0.18730664434314176,normal
0.020606422242004402,0.05684876503763288,0.1559815649256172,0.39682206522292907,0.27055177637357836,0.015894531751691088,0.010092302051784224,0.07320257239476288,-0.021367874931780967,5.367010917796742e-5,0.11629646388797808,-0.18373623941277745,normal
0.04649120805535924,0.03046656119692996,0.04699717249161063,0.48015972081298774,0.14149508635697072,0.10815563195802173,0.025182885962759714,0.1210517331653603,-0.024532249197290943,7.223781474330237e-5,0.13492193785783022,-0.1818255028558887,normal
0.03372482827896589,0.0032358579005395166,0.18321330043725173,0.32279414193937667,0.004179926222832181,0.4077135934454823,0.03313552442171483,0.012002827353836846,-0.026385253504333444,8.551473968763774e-5,0.14679820980272448,-0.17973825116662798,normal
0.11201300618400045,0.20186284437877827,0.040689890098286434,0.4364527469416257,0.15847536108889967,0.045839105545204685,0.001689514640395083,0.0029775311228094725,-0.01900049097612033,5.66897314359585e-5,0.11952327104736359,-0.15896896737867044,normal
0.07275101761884763,0.03226756320010509,0.2724353228776674,0.4275708397993108,0.09203924923804148,0.03866161682704395,0.028116180082921063,0.036158210356062565,-0.01990909699399349,6.318281530047242e-5,0.12618268286781295,-0.15777994683192745,normal
0.13417403812523707,0.005196927579050469,0.014896373145697198,0.353385605247873,0.018047462837805603,0.429947561028997,0.010738939216283775,0.033613092819055924,-0.02347316327306003,8.962821095096583e-5,0.15028742182778768,-0.15618847530672003,normal
